Position,Company_Name,Job_Description,City,Province,Quota,Registered,Acceptance_Percentage,Registration_Start,Registration_End
"Mandarin Tutor","PT. Sindopex Perotama","Mampu mengajar Bahasa Mandarin untuk Bisnis & Professional. Memiliki kemampuan interpersonal yang baik. Dapat bekerjasama dibawah tekanan sekalipun. Memiliki Integritas dan kemandirian. Mau mempelajari dan melaksanakan hal baru demi kemajuan perusahaan misalnya bidang Head Office.","KAB. SIDOARJO","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Mandarin Facilitator","PT. Sindopex Perotama","Mampu memfasilitasi user dengan para stakeholder dalam bahasa mandarin. Memiliki kemampuan interpersonal yang baik. Dapat bekerjasama dibawah tekanan sekalipun. Memiliki Integritas dan kemandirian. Mau mempelajari dan melaksanakan hal baru demi kemajuan perusahaan misalnya bidang Head Office..","KAB. SIDOARJO","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"HOUSEKEEPING","Mandiri Sukses Sejahtera","Membantu departemen housekeeping dalam menjaga kebersihan dan kerapian hotel","KAB. SIDOARJO","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"F&B PRODUCT","Mandiri Sukses Sejahtera","membantu mengolah bahan baku menjadi produk makanan dan minuman yang siap disajikan, menjaga standar kualitas dan kebersihan dapur, serta membantu dalam pengembangan menu baru sesuai tren","KAB. SIDOARJO","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Sales Associates","PT. Matahari Department Store, Tbk. (Plaza Surabaya)","Membantu Supervisor Area dengan segala hal yang berhubungan dengan merchandise (seperti melayani customer, menata display, stock barang, dan lain sebagainya)","KOTA SURABAYA","JAWA TIMUR",13,0,1300,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Kasir","Matahari Tunjungan Plaza","mengelola transaksi pembayaran, memberikan pelayanan pelanggan, dan mencatat data penjualan dengan akurat","KOTA SURABAYA","JAWA TIMUR",8,0,800,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Sales Associate","Matahari Tunjungan Plaza","Menyapa pelanggan dan mencari tahu apa yang mereka inginkan dan butuhkan, Merekomendasikan produk berdasarkan kebutuhan pelanggan, Memberikan informasi tentang opsi dan detail produk, menjawab pertanyaan seputar produk, dan menunjukkan penggunaan produk, Mendorong pelanggan untuk membeli produk tambahan atau produk berkualitas lebih tinggi, yang dikenal sebagai upselling dan cross-selling, Menjelaskan kebijakan seperti garansi, diskon, dan batas pengembalian, Membantu pelanggan menyelesaikan pembelian
Membangun loyalitas pelanggan dengan menawarkan keanggotaan program loyalitas lainnya, Membantu kebutuhan display produk, menginventaris barang, dan manajemen stok","KOTA SURABAYA","JAWA TIMUR",12,0,1200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Cook helper","Setia Budi","mendukung operasional teknis first cook","KOTA MADIUN","JAWA TIMUR",3,0,300,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Kasir","Matahari Department Store","Administrasi penjualan, pelayanan pelanggan, proses transaksi penjualan","KOTA MADIUN","JAWA TIMUR",9,0,900,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Editor Intern","Shahia Hijab Indonesia","Tugas dan Tanggung Jawab Utama

1. Editing Video & Visual
- Mengedit video harian untuk kebutuhan Shopee Video, TikTok, Reels, dan iklan digital.
- Menambahkan efek visual, transisi, caption, dan musik yang sesuai dengan karakter brand.
- Memastikan durasi, format, dan resolusi video sesuai ketentuan tiap platform.
- Melakukan color grading dan penyempurnaan audio untuk hasil akhir yang lebih profesional.

2. Desain Grafis & Branding
- Membuat desain pendukung promosi seperti poster, feed Instagram, banner live, dan thumbnail Shopee.
- Menjaga konsistensi warna, font, dan elemen visual sesuai brand guideline Shahia Servantina.
- Membantu tim konten dalam menyiapkan storyboard atau moodboard visual sebelum produksi.

3. Kolaborasi Tim Konten & Marketing
- Bekerja sama dengan konten kreator dan host live untuk memastikan hasil editing sesuai dengan konsep storytelling yang diinginkan.
- Menyediakan draft video/desain untuk direview oleh manager operasional sebelum publikasi.
- Mengarsipkan file mentahan dan hasil akhir di sistem penyimpanan internal (Google Drive atau server perusahaan).

4. Optimasi & Evaluasi Konten
- Mengusulkan ide editing baru berdasarkan tren visual di TikTok dan Shopee.
- Menjaga efisiensi waktu editing tanpa mengurangi kualitas hasil.","KAB. NGAWI","JAWA TIMUR",1,0,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
